SMILES Labelled
"CC(C)(C)[P:10](C1=CC=CC=C1)C(C)(C)C.CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]=[C:21]2[C:22](=[O:23])C3=C(C=CC=C3)[C:32]2=[O:33])[CH:36]=[CH:35]1>>CO[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([P+:10](C2=CC=CC=C2)(C(C)(C)C)C(C)(C)C)[C:21]2=[C:22]([O-:23])C3=C(C=CC=C3)[C:32]2=[O:33])[CH:36]=[CH:35]1 10=20;20,21=21,22;22,23=23"
C[C:61]1=[N:10][C:64]2=[C:63](C=CC=C2)[NH:62]1.C[Si](C)(C)C12[C:31]3([CH2+:20])[Co-3:32]1(C#[O+])(C#[O+])(C#[O+])[Co-3:42]23(C#[O+])(C#[O+])C#[O+]>>C[Si](C)(C)C12[C:31]3([CH2:20][N+:10]4=[C:61](C)[NH:62][C:63]5=[C:64]4C=CC=C5)[Co-3:32]1(C#[O+])(C#[O+])(C#[O+])[Co-3:42]23(C#[O+])(C#[O+])C#[O+] 10=20
"C1C[N:10]=[C:11]2[N:12](C1)CC[NH:62]2.CC[O:34][C:32]([C:21](=[CH:20][C:41]1=[CH:42][CH:43]=[C:44](OC)[CH:45]=[CH:46]1)[C:22](=[O:23])[O:39]CC)=[O:33]>>CC[O:34][C:32]([C:21]([CH:20]([N:10]1CCC[N+:12]2=[C:11]1[NH:62]CC2)[C:41]1=[CH:42][CH:43]=[C:44](OC)[CH:45]=[CH:46]1)=[C:22]([O-:23])[O:39]CC)=[O:33] 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
"C1C[C:20](=[O:21])CCO1.[CH2:10]=[CH:11][CH:62]=[CH2:63]>>C1C[C:20]([CH2:10][CH+:11][CH:62]=[CH2:63])([O-:21])CCO1 10,11=10,20;20,21=21"
"C1C[N+]2(C[C:21]3=[CH:20][C:31]4=[C:32](O[C:22]3=[O:23])[CH:33]=[CH:34][CH:35]=[CH:36]4)CCN1CC2.CC[O:82][C:71]([C-:10]1CCCCCC[C:62]1=[O:61])=[O:72]>>CC[O:82][C:71]([C:10]1([CH:20]2[C:21](C[N+]34CCN(CC3)CC4)=[C:22]([O-:23])O[C:32]3=[C:31]2[CH:36]=[CH:35][CH:34]=[CH:33]3)CCCCCC[C:62]1=[O:61])=[O:72] 10=20;20,21=21,22;22,23=23"
"C1=CC=C([P:22](C2=CC=CC=C2)(/[N:21]=[CH:20]/[C:31]2=[CH:32][CH:33]=[CH:34][CH:36]=[CH:35]2)=[O:23])C=C1.CCCCCC[SiH:11](CCCCCC)[H:10]>>C1=CC=C([P:22](C2=CC=CC=C2)(=[N:21][CH:20]([H:10])[C:31]2=[CH:32][CH:33]=[CH:34][CH:36]=[CH:35]2)[O-:23])C=C1.CCCCCC[SiH+:11]CCCCCC 10,11=10,20;20,21=21,22;22,23=23"
"C1CCN([C:34]2=[CH:33][CH:32]=[C:31]([CH+:20][C:41]3=[CH:42][CH:43]=[C:44](N4CCCC4)[CH:45]=[CH:46]3)[CH:36]=[CH:35]2)C1.[CH:10](=[N+:11]([O-:12])[O-:62])[C:71]1=[CH:72][CH:73]=[C:74]([N+:75](=[O:76])[O-:86])[CH:82]=[CH:83]1>>C1CCN([C:34]2=[CH:33][CH:32]=[C:31]([CH:20]([CH:10]([N+:11](=[O:12])[O-:62])[C:71]3=[CH:72][CH:73]=[C:74]([N+:75](=[O:76])[O-:86])[CH:82]=[CH:83]3)[C:41]3=[CH:42][CH:43]=[C:44](N4CCCC4)[CH:45]=[CH:46]3)[CH:36]=[CH:35]2)C1 10,11=10,20;12=11,12"
"C[Si](C)(C)[N:12]1[CH:11]=[N:10][CH:64]=[CH:63]1.[O-][N+:22]([C:21]1=[CH:20]N2N=N[N:35]=[C:34]2[CH:33]=[CH:32]1)=[O:23]>>C[Si](C)(C)[N+:12]1=[CH:11][N:10]([CH:20]2N3N=N[N:35]=[C:34]3[CH:33]=[CH:32][C:21]2=[N+:22]([O-])[O-:23])[CH:64]=[CH:63]1 10,11=10,20;12=11,12;20,21=21,22;22,23=23"
CC1=CC(C)=C([N:61]2[C-:10]=[N+:71](C3=C(C)C=C(C)C=C3C)[CH:63]=[CH:62]2)C(C)=C1.C[CH+:20][C:31]1=[C:32](C)[CH:33]=[C:34](C)[CH:35]=[C:36]1C>>CC1=CC(C)=C([N:61]2[C:10]([CH:20](C)[C:31]3=[C:32](C)[CH:33]=[C:34](C)[CH:35]=[C:36]3C)=[N+:71](C3=C(C)C=C(C)C=C3C)[CH:63]=[CH:62]2)C(C)=C1 10=20
"CCC[NH:10]CCC.N#C[C:33]1=[CH:32][C:21]([N+:22]([O-])=[O:23])=[CH:20][C:41]2=[N+:42]([O-])O[N:35]=[C:34]12>>CCC[NH+:10](CCC)[CH:20]1[C:21](=[N+:22]([O-])[O-:23])[CH:32]=[C:33](C#N)[C:34]2=[N:35]O[N+:42]([O-])=[C:41]12 10=20;20,21=21,22;22,23=23"
"C1C[CH:10]=[CH:11]C1.F[C:34]1=[CH:33][CH:32]=[C:31]([CH+:20][C:41]2=[CH:42][CH:43]=[C:44](F)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1>>F[C:34]1=[CH:33][CH:32]=[C:31]([CH:20]([CH:10]2CCC[CH+:11]2)[C:41]2=[CH:42][CH:43]=[C:44](F)[CH:45]=[CH:46]2)[CH:36]=[CH:35]1 10,11=10,20"
"C=C(C)CCC[C:11](C)=[CH2:10].N#C[C:34]1=[CH:33][CH:32]=[C:31](/[CH:20]=[CH:21]/[C:22](C2=CC=CC=C2)=[O:23])[CH:36]=[CH:35]1>>C=C(C)CCC[C+:11](C)[CH2:10][CH:20]([CH:21]=[C:22](C1=CC=CC=C1)[O-:23])[C:31]1=[CH:32][CH:33]=[C:34](C#N)[CH:35]=[CH:36]1 10,11=10,20;20,21=21,22;22,23=23"
