SMILES Labelled,
"C[NH+](C)CCCNC(=O)/C=N/[O:21][H:20].O=C([O-])CC[S-:10]>>C[NH+](C)CCCNC(=O)/C=N/[O-:21].O=C([O-])CC[S:10][H:20] 10=20;20,21=21",
"C(Cc1nnn[n-]1)[NH2+]CC[NH:10]CCc1nnn[n-]1.[N-]=[N+]=Nc1ncnc2nc[n:21]([H:20])c12>>C(Cc1nnn[n-]1)[NH2+]CC[NH+:10](CCc1nnn[n-]1)[H:20].[N-]=[N+]=Nc1ncnc2nc[n-:21]c12 10=20;20,21=21",
"CC1(C)[C@H]2CC[C@@]1(C)[C@@H](O)[C@@H]2C(=O)[O-:10].CSc1nc(N)c2c(ncn2[C@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[n+:21]1[H:20]>>CC1(C)[C@H]2CC[C@@]1(C)[C@@H](O)[C@@H]2C(=O)[O:10][H:20].CSc1nc(N)c2c(ncn2[C@H]2O[C@H](CO)[C@@H](O)[C@H]2O)[n:21]1 10=20;20,21=21",
"Cc1cc([N+](=O)[O-])cc2c1nnn2[O-:10].Cn1ncc2c(NCc3ccco3)nc[n+:21]([H:20])c21>>Cc1cc([N+](=O)[O-])cc2c1nnn2[O:10][H:20].Cn1ncc2c(NCc3ccco3)nc[n:21]c21 10=20;20,21=21", 
"C/C(Nc1ccccc1)=[N:10]/c1ccccc1.CCCn1cc[n+:21]([H:20])c1C>>C/C(Nc1ccccc1)=[N+:10](/c1ccccc1)[H:20].CCCn1cc[n:21]c1C 10=20;20,21=21",
"COCc1cccc(COC)[n:10]1.O=C(/C=C/c1ccco1)[O:21][H:20]>>COCc1cccc(COC)[n+:10]1[H:20].O=C(/C=C/c1ccco1)[O-:21] 10=20;20,21=21",
"CCOC(=O)N1CC[NH:10]CC1.COc1ccc(C(O)C[NH2+:21][H:20])cc1>>CCOC(=O)N1CC[NH+:10]([H:20])CC1.COc1ccc(C(O)C[NH2:21])cc1 10=20;20,21=21",
"CC(C)C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-])[NH2+:21][H:20].O=C1C[C@@H](C(=O)O)[C@@H](C(=O)[O-:10])O1>>CC(C)C[C@@H](C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-])[NH2:21].O=C1C[C@@H](C(=O)O)[C@@H](C(=O)[O:10][H:20])O1 10=20;20,21=21",
"[NH3+]CCCCCc1cccc[n:10]1.[NH3+]c1ccc(O)c([NH2+:21][H:20])c1>>[NH3+]CCCCCc1cccc[n+:10]1[H:20].[NH3+]c1ccc(O)c([NH2:21])c1 10=20;20,21=21",
"Oc1ccc2c[n:10]c3ccccc3c2c1.c1cn[nH+]c([O:21][H:20])c1>>Oc1ccc2c[n+:10]([H:20])c3ccccc3c2c1.c1cn[nH+]c([O-:21])c1 10=20;20,21=21",
"CCCCCCP(CCCCCC)(CCCCCC)=[O+:21][H:20].c1ccc(P(c2ccccc2)(c2ccccc2)=[N:10]c2ccccc2)cc1>>CCCCCCP(CCCCCC)(CCCCCC)=[O:21].c1ccc(P(c2ccccc2)(c2ccccc2)=[N+:10](c2ccccc2)[H:20])cc1 10=20;20,21=21",
"CC([NH3+])C(=O)[O:21][H:20].O=C(C1CCCCn2nnnc21)[O-:10]>>CC([NH3+])C(=O)[O-:21].O=C(C1CCCCn2nnnc21)[O:10][H:20] 10=20;20,21=21",
"CCC(O)C[N+:21](CC)(CC(O)CC)[H:20].Cc1ccc(N)[n:10]c1>>CCC(O)C[N:21](CC)CC(O)CC.Cc1ccc(N)[n+:10]([H:20])c1 10=20;20,21=21",
"CC(=O)CC[N+:21](C)(C)[H:20].O=C([O-])c1cc2ccccc2cc1[O-:10]>>CC(=O)CC[N:21](C)C.O=C([O-])c1cc2ccccc2cc1[O:10][H:20] 10=20;20,21=21",
"CC(=O)N(N)C1CC[N:10](C)CC1.CC(=O)c1cc(C(C)=O)[n:21]([H:20])n1>>CC(=O)N(N)C1CC[N+:10](C)([H:20])CC1.CC(=O)c1cc(C(C)=O)[n-:21]n1 10=20;20,21=21",
"CN(C)C([OH2+])[O:21][H:20].c1coc(CNc2nc[n:10]c3nc[nH]c23)c1>>CN(C)C([OH2+])[O-:21].c1coc(CNc2nc[n+:10]([H:20])c3nc[nH]c23)c1 10=20;20,21=21",
"CC[N:10](CCO)c1ccc(N)cc1.[SH2+]c1cccc2c1ccc[n+:21]2[H:20]>>CC[N+:10](CCO)(c1ccc(N)cc1)[H:20].[SH2+]c1cccc2c1ccc[n:21]2 10=20;20,21=21",
"Cc1c(CO)cc(C)[n+:21]([H:20])c1C.O=C(CC1CCCCC1)[O-:10]>>Cc1c(CO)cc(C)[n:21]c1C.O=C(CC1CCCCC1)[O:10][H:20] 10=20;20,21=21",
"C[C@H](CCC(=O)[O:21][H:20])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.S=C(Nc1ccccc1)[N-:10]C(=S)c1ccccc1>>C[C@H](CCC(=O)[O-:21])[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C.S=C(Nc1ccccc1)[N:10](C(=S)c1ccccc1)[H:20] 10=20;20,21=21",
"Cc1cc(C(C)C)c([O-:10])cc1C.Cc1ccc(C)c(C(=O)[O:21][H:20])c1>>Cc1cc(C(C)C)c([O:10][H:20])cc1C.Cc1ccc(C)c(C(=O)[O-:21])c1 10=20;20,21=21",
"[S-]c1nccc[n+:21]1[H:20].c1ccc(NC(Nc2ccccc2)=[N:10]c2ccccc2)cc1>>[S-]c1nccc[n:21]1.c1ccc(NC(Nc2ccccc2)=[N+:10](c2ccccc2)[H:20])cc1 10=20;20,21=21",
