SMILES Labelled,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
"CCOC([CH+:20]O[Al-:11](C)(C)[CH3:10])(C1CCCCC1)C(C(F)(F)F)(F)F>>CCOC(C1CCCCC1)(C(C)O[Al](C)C)C(C(F)(F)F)(F)F 10,11=10,20",Sigma to empty,,,,,
"CCO[C+:20]([CH:11]([CH:10]1CCCCC1)O[Al-](C)(C)C)C(C(F)(F)F)(F)F>>CCOC([CH+]O[Al-](C)(C)C)(C1CCCCC1)C(C(F)(F)F)(F)F 10,11=10,20",Sigma to empty,,,,,
"CCO[C:20]1(C([O+:21]1[Al-](C)(C)C)C2CCCCC2)C(C(F)(F)F)(F)F>>CCO[C+](C(C1CCCCC1)O[Al-](C)(C)C)C(C(F)(F)F)(F)F 20,21=21",Sigma to sigma*,,,,,
CCOC1(C([O:10]1)C2CCCCC2)C(C(F)(F)F)(F)F.C[Al:20](C)C>>CCOC1(C([O+]1[Al-](C)(C)C)C2CCCCC2)C(C(F)(F)F)(F)F 10=20,Lone to empty,,,,,
"[H:20][O+:21]=C1CC(C2COC1(O2)CC)O.OS(=O)(=O)[O-:10]>>CCC12C(=O)CC(C(O1)CO2)O.OS(=O)(=O)O 10=20;20,21=21",Lone to sigma*,,,Example resonance structures found:,,
"CCC1(OCC(O1)[CH:20]=[OH+:21])[C:11](=[CH2:10])[OH:12]>>CCC12C(=[OH+])CC(C(O1)CO2)O 10,11=10,20;12=11;20,21=21",Pi to pi*,,,"C[N:10](C)[CH:20]=[O:21].c1(nc(nc(n1)Cl)Cl)Cl>>C[N+](=C[O-])C.c1(nc(nc(n1)Cl)Cl)Cl 10=20;20,21=21",,
"[H:20][O:21]S(=O)(=O)O.CCC1(OCC(O1)C=[O:10])C(=C)O>>CCC1(OCC(O1)C=[OH+])C(=C)O.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,"CC[N+:21](=[S:20]([O-:10])F)CC.F.CCF>>CCN(CC)S(=O)F.F.CCF 10=20;20,21=21",,
"[H:20][CH2:21][C:22](=[OH+:23])C1(OCC(O1)C=O)CC.OS(=O)(=O)[O-:10]>>CCC1(OCC(O1)C=O)C(=C)O.OS(=O)(=O)O 10=20;20,21=21,22;22,23=23",Lone to sigma*,,,C[CH+:10][O:11][Fe-](Cl)(Cl)Cl>>C[CH:10]=[O+:11][Fe-](Cl)(Cl)Cl 11=10,,
"[H:20][O:21]S(=O)(=O)O.CCC1(OCC(O1)C=O)C(=[O:10])C>>CCC1(OCC(O1)C=O)C(=[OH+])C.OS(=O)(=O)[O-] 10=20;20,21=21",Lone to sigma*,,,C[CH+:10][O:11][Fe](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O>>C[CH:10]=[O+:11][Fe](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O 11=10,,
"OS(=O)(=O)[O-:10].[H:20][C:21]1(C=C[C:24](=[N+:25](C)C)[CH:23]=[CH:22]1)N=NC2=CC=CC=C2>>CN(C)c1ccc(cc1)N=Nc2ccccc2.OS(=O)(=O)O 10=20;20,21=21,22;22,23=23,24;24,25=25",Lone to sigma*,,,C[CH+:10][O:11][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O>>C[CH:10]=[O+:11][Sc](OS(=O)(C(F)(F)F)=O)OS(=O)(C(F)(F)F)=O 11=10,,
