Epoch 1 | Train Loss: 0.2141 | Val Loss: 0.1653 | Val Acc: 27.78%
Epoch 2 | Train Loss: 0.1536 | Val Loss: 0.1458 | Val Acc: 32.25%
Epoch 3 | Train Loss: 0.1433 | Val Loss: 0.1340 | Val Acc: 35.51%
Epoch 4 | Train Loss: 0.1289 | Val Loss: 0.1181 | Val Acc: 41.04%
Epoch 5 | Train Loss: 0.1190 | Val Loss: 0.1225 | Val Acc: 36.84%
Epoch 6 | Train Loss: 0.1152 | Val Loss: 0.1364 | Val Acc: 30.05%
Epoch 7 | Train Loss: 0.1058 | Val Loss: 0.1087 | Val Acc: 47.57%
Epoch 8 | Train Loss: 0.0971 | Val Loss: 0.0871 | Val Acc: 59.89%
Epoch 9 | Train Loss: 0.0893 | Val Loss: 0.0807 | Val Acc: 67.95%
Epoch 10 | Train Loss: 0.0811 | Val Loss: 0.0790 | Val Acc: 66.62%
Epoch 11 | Train Loss: 0.0769 | Val Loss: 0.0715 | Val Acc: 68.42%
Epoch 12 | Train Loss: 0.0727 | Val Loss: 0.0696 | Val Acc: 68.42%
Epoch 13 | Train Loss: 0.0719 | Val Loss: 0.0777 | Val Acc: 68.09%
Epoch 14 | Train Loss: 0.0707 | Val Loss: 0.0727 | Val Acc: 70.02%
Epoch 15 | Train Loss: 0.0702 | Val Loss: 0.0654 | Val Acc: 68.15%
Epoch 16 | Train Loss: 0.0676 | Val Loss: 0.0671 | Val Acc: 70.29%
Epoch 17 | Train Loss: 0.0664 | Val Loss: 0.0678 | Val Acc: 71.15%
Epoch 18 | Train Loss: 0.0668 | Val Loss: 0.0632 | Val Acc: 71.89%
Epoch 19 | Train Loss: 0.0660 | Val Loss: 0.0701 | Val Acc: 70.35%
Epoch 20 | Train Loss: 0.0653 | Val Loss: 0.0637 | Val Acc: 71.42%
Epoch 21 | Train Loss: 0.0638 | Val Loss: 0.0619 | Val Acc: 71.29%
Epoch 22 | Train Loss: 0.0630 | Val Loss: 0.0593 | Val Acc: 73.42%
Epoch 23 | Train Loss: 0.0626 | Val Loss: 0.0632 | Val Acc: 71.49%
Epoch 24 | Train Loss: 0.0628 | Val Loss: 0.0676 | Val Acc: 73.22%
Epoch 25 | Train Loss: 0.0648 | Val Loss: 0.0606 | Val Acc: 72.29%
Epoch 26 | Train Loss: 0.0614 | Val Loss: 0.0632 | Val Acc: 73.02%
Epoch 27 | Train Loss: 0.0616 | Val Loss: 0.0595 | Val Acc: 73.28%
Epoch 28 | Train Loss: 0.0608 | Val Loss: 0.0794 | Val Acc: 68.49%
Epoch 29 | Train Loss: 0.0607 | Val Loss: 0.0578 | Val Acc: 74.68%
Epoch 30 | Train Loss: 0.0592 | Val Loss: 0.0570 | Val Acc: 75.75%
