Epoch 1 | Train Loss: 0.4123 | Val Loss: 0.3855 | Val Acc: 2.39%
Epoch 2 | Train Loss: 0.3710 | Val Loss: 0.3639 | Val Acc: 4.60%
Epoch 3 | Train Loss: 0.3535 | Val Loss: 0.3519 | Val Acc: 8.09%
Epoch 4 | Train Loss: 0.3414 | Val Loss: 0.3355 | Val Acc: 10.11%
Epoch 5 | Train Loss: 0.3326 | Val Loss: 0.3458 | Val Acc: 9.38%
Epoch 6 | Train Loss: 0.3274 | Val Loss: 0.3210 | Val Acc: 8.27%
Epoch 7 | Train Loss: 0.3208 | Val Loss: 0.3145 | Val Acc: 11.58%
Epoch 8 | Train Loss: 0.3115 | Val Loss: 0.3061 | Val Acc: 14.15%
Epoch 9 | Train Loss: 0.3020 | Val Loss: 0.3024 | Val Acc: 15.26%
Epoch 10 | Train Loss: 0.2948 | Val Loss: 0.2926 | Val Acc: 18.93%
Epoch 11 | Train Loss: 0.2896 | Val Loss: 0.2857 | Val Acc: 20.22%
Epoch 12 | Train Loss: 0.2803 | Val Loss: 0.2886 | Val Acc: 18.75%
Epoch 13 | Train Loss: 0.2776 | Val Loss: 0.2790 | Val Acc: 21.14%
Epoch 14 | Train Loss: 0.2711 | Val Loss: 0.2693 | Val Acc: 22.79%
Epoch 15 | Train Loss: 0.2674 | Val Loss: 0.2664 | Val Acc: 23.53%
Epoch 16 | Train Loss: 0.2621 | Val Loss: 0.2657 | Val Acc: 23.71%
Epoch 17 | Train Loss: 0.2584 | Val Loss: 0.2620 | Val Acc: 23.71%
Epoch 18 | Train Loss: 0.2582 | Val Loss: 0.2572 | Val Acc: 25.18%
Epoch 19 | Train Loss: 0.2554 | Val Loss: 0.2561 | Val Acc: 24.63%
Epoch 20 | Train Loss: 0.2525 | Val Loss: 0.2661 | Val Acc: 22.98%
Epoch 21 | Train Loss: 0.2508 | Val Loss: 0.2579 | Val Acc: 24.82%
Epoch 22 | Train Loss: 0.2492 | Val Loss: 0.2703 | Val Acc: 24.45%
Epoch 23 | Train Loss: 0.2481 | Val Loss: 0.2586 | Val Acc: 24.63%
Epoch 24 | Train Loss: 0.2454 | Val Loss: 0.2468 | Val Acc: 25.74%
Epoch 25 | Train Loss: 0.2433 | Val Loss: 0.2440 | Val Acc: 27.39%
Epoch 26 | Train Loss: 0.2411 | Val Loss: 0.2434 | Val Acc: 28.31%
Epoch 27 | Train Loss: 0.2410 | Val Loss: 0.2476 | Val Acc: 26.10%
Epoch 28 | Train Loss: 0.2368 | Val Loss: 0.2440 | Val Acc: 27.94%
Epoch 29 | Train Loss: 0.2386 | Val Loss: 0.2407 | Val Acc: 27.57%
Epoch 30 | Train Loss: 0.2391 | Val Loss: 0.2453 | Val Acc: 27.21%
Epoch 31 | Train Loss: 0.2373 | Val Loss: 0.2441 | Val Acc: 27.21%
Epoch 32 | Train Loss: 0.2360 | Val Loss: 0.2426 | Val Acc: 29.04%
Epoch 33 | Train Loss: 0.2330 | Val Loss: 0.2407 | Val Acc: 26.65%
Epoch 34 | Train Loss: 0.2309 | Val Loss: 0.2337 | Val Acc: 30.70%
Epoch 35 | Train Loss: 0.2300 | Val Loss: 0.2366 | Val Acc: 29.96%
Epoch 36 | Train Loss: 0.2287 | Val Loss: 0.2353 | Val Acc: 29.41%
Epoch 37 | Train Loss: 0.2287 | Val Loss: 0.2419 | Val Acc: 28.68%
Epoch 38 | Train Loss: 0.2281 | Val Loss: 0.2316 | Val Acc: 27.76%
Epoch 39 | Train Loss: 0.2260 | Val Loss: 0.2316 | Val Acc: 31.80%
Epoch 40 | Train Loss: 0.2254 | Val Loss: 0.2315 | Val Acc: 31.07%
Epoch 41 | Train Loss: 0.2239 | Val Loss: 0.2252 | Val Acc: 30.33%
Epoch 42 | Train Loss: 0.2245 | Val Loss: 0.2261 | Val Acc: 31.25%
Epoch 43 | Train Loss: 0.2212 | Val Loss: 0.2314 | Val Acc: 30.88%
Epoch 44 | Train Loss: 0.2210 | Val Loss: 0.2312 | Val Acc: 31.25%
Epoch 45 | Train Loss: 0.2215 | Val Loss: 0.2389 | Val Acc: 26.65%
Epoch 46 | Train Loss: 0.2183 | Val Loss: 0.2278 | Val Acc: 27.39%
Epoch 47 | Train Loss: 0.2175 | Val Loss: 0.2369 | Val Acc: 30.51%
Epoch 48 | Train Loss: 0.2177 | Val Loss: 0.2257 | Val Acc: 34.01%
Epoch 49 | Train Loss: 0.2173 | Val Loss: 0.2213 | Val Acc: 31.99%
Epoch 50 | Train Loss: 0.2191 | Val Loss: 0.2303 | Val Acc: 30.15%
Epoch 51 | Train Loss: 0.2167 | Val Loss: 0.2349 | Val Acc: 28.49%
Epoch 52 | Train Loss: 0.2173 | Val Loss: 0.2281 | Val Acc: 32.90%
Epoch 53 | Train Loss: 0.2156 | Val Loss: 0.2202 | Val Acc: 31.43%
Epoch 54 | Train Loss: 0.2103 | Val Loss: 0.2168 | Val Acc: 33.46%
Epoch 55 | Train Loss: 0.2109 | Val Loss: 0.2243 | Val Acc: 32.35%
Epoch 56 | Train Loss: 0.2117 | Val Loss: 0.2239 | Val Acc: 31.25%
Epoch 57 | Train Loss: 0.2152 | Val Loss: 0.2257 | Val Acc: 29.60%
Epoch 58 | Train Loss: 0.2137 | Val Loss: 0.2257 | Val Acc: 30.33%
Epoch 59 | Train Loss: 0.2094 | Val Loss: 0.2165 | Val Acc: 33.46%
Epoch 60 | Train Loss: 0.2111 | Val Loss: 0.2154 | Val Acc: 33.09%
Epoch 61 | Train Loss: 0.2077 | Val Loss: 0.2174 | Val Acc: 34.01%
Epoch 62 | Train Loss: 0.2089 | Val Loss: 0.2119 | Val Acc: 34.38%
Epoch 63 | Train Loss: 0.2079 | Val Loss: 0.2114 | Val Acc: 35.29%
Epoch 64 | Train Loss: 0.2069 | Val Loss: 0.2110 | Val Acc: 34.56%
Epoch 65 | Train Loss: 0.2043 | Val Loss: 0.2085 | Val Acc: 34.19%
Epoch 66 | Train Loss: 0.2034 | Val Loss: 0.2142 | Val Acc: 34.38%
Epoch 67 | Train Loss: 0.2028 | Val Loss: 0.2089 | Val Acc: 34.74%
Epoch 68 | Train Loss: 0.2026 | Val Loss: 0.2222 | Val Acc: 31.99%
Epoch 69 | Train Loss: 0.2014 | Val Loss: 0.2136 | Val Acc: 33.09%
Epoch 70 | Train Loss: 0.2049 | Val Loss: 0.2131 | Val Acc: 33.64%
Epoch 71 | Train Loss: 0.2023 | Val Loss: 0.2221 | Val Acc: 34.01%
